city,city_subunit,lat,lng,query,place_type,place_id,name,addr,place_lat,place_lng
Berlin,Adlershof,52.434879,13.5421149,supermarket,"convenience_store,supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJr3mVVilGqEcRYca_R1MOO9A,denn's Biomarkt,"Dörpfeldstraße 1, 12489 Berlin, Germany",52.4354747,13.5418416
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,Tankstelle,"gas_station,car_wash,car_rental,convenience_store,food,point_of_interest,store,establishment",ChIJx2LSe4lLqEcR-lOMCZxBmXk,Aral,"Märkische Allee 248, 12679 Berlin, Germany",52.553732,13.551587
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,Tankstelle,"gas_station,car_wash,point_of_interest,establishment",ChIJccZIAbtNqEcRiTa-yhbfYUk,HEM Tankstelle,"Berliner Allee 320, 13088 Berlin, Germany",52.56542779999999,13.4718385
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,Tankstelle,"gas_station,point_of_interest,establishment",ChIJLVVhfz5MqEcRZ10gPxTRe2o,JET Tankstelle,"Rhinstraße 240, 13055 Berlin, Germany",52.5473514,13.5094043
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,Tankstelle,"gas_station,point_of_interest,establishment",ChIJR-5e0OdLqEcRoh1QsCUOk-Q,JET Tankstelle,"Elisabethstraße 111, 12683 Berlin, Germany",52.5348179,13.5660117
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,Tankstelle,"gas_station,point_of_interest,establishment",ChIJYT10TopLqEcRcUlYviaFLCw,JET Tankstelle,"Märkische Allee 246, 12679 Berlin, Germany",52.55190169999999,13.5502457
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,Tankstelle,"gas_station,bakery,cafe,restaurant,food,point_of_interest,store,establishment",ChIJC6nKO-tLqEcRAB1K5YkgD5U,TOTAL Tankstelle,"Landsberger Allee 526, 12681 Berlin, Germany",52.54499920000001,13.568901199999999
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,Tankstelle,"gas_station,bakery,cafe,restaurant,food,point_of_interest,store,establishment",ChIJK0aHUhtMqEcRnl2S6QO3dQc,TOTAL Tankstelle,"Landsberger Allee 376, 12681 Berlin, Germany",52.5354785,13.5227661
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,Tankstelle,"gas_station,bakery,cafe,restaurant,food,point_of_interest,store,establishment",ChIJZTHgqVJMqEcRLYq2iIDEv-E,TOTAL Tankstelle,"Ribnitzer Str. 42, 13051 Berlin, Germany",52.5655903,13.491748499999998
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,Tankstelle,"gas_station,bakery,cafe,food,point_of_interest,store,establishment",ChIJjUcCPotNqEcRKurCzCKKgzo,star Tankstelle,"Malchower Chaussee 1, 13088 Berlin, Germany",52.5661214,13.471175400000002
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,Tankstelle,"gas_station,bakery,cafe,food,point_of_interest,store,establishment",ChIJve5vvm5MqEcR_il38FNii0Y,star Tankstelle,"Pablo-Picasso-Straße 50, 13057 Berlin, Germany",52.55723099999999,13.527176
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,fast food,"restaurant,food,point_of_interest,establishment",ChIJUzf9OsxNqEcRNxaVrCLJsB0,McDonald's,"Hansastraße 1, 13053 Berlin, Germany",52.547064,13.4683675
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJN-vVl9pNqEcRDTURompARz4,"ALDI Berlin-Pankow, Weissensee OT","Chopinstraße 28, 13088 Berlin, Germany",52.5455556,13.463611199999999
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJd996DclNqEcRivV84Wirl-U,EDEKA Kitschun,"Buschallee 88, 13088 Berlin, Germany",52.5538299,13.475446900000001
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJU-10ZjlMqEcRqX9qp1WCi-M,Kaufland Berlin-Alt-Hohenschönhaus.,"Hauptstraße 9-10, 13055 Berlin, Germany",52.54779920000001,13.5051117
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJ19qLBk9MqEcR4OmFAsgGEWo,Lidl,"Malchower Weg 134, 13053 Berlin, Germany",52.5615824,13.501594199999998
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJ9UFZLtBNqEcR9Knj9pIPDdo,Lidl,"Indira-Gandhi-Straße 101, 13053 Berlin, Germany",52.546187100000004,13.469177499999999
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJDaptyjpMqEcRXROtkyE_emA,Lidl,"Große-Leege-Straße 95, 13055 Berlin, Germany",52.5428706,13.497559599999999
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJGzz042pMqEcRbZy5ypGcBZY,Lidl,"Gehrenseestraße 11, 13053 Berlin, Germany",52.5501395,13.514578
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"restaurant,grocery_or_supermarket,cafe,food,point_of_interest,store,establishment",ChIJrTROXAdNqEcR3C1kzUTJb6M,Nelke,"Hauptstraße 9-10 (im Kaufland, 13055 Berlin, Germany",52.54779920000001,13.5051117
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJJyx75UdMqEcRboZ8NcuD1sw,Netto Deutschland - schwarz-gelber Discounter mit dem Scottie,"Malchower Weg 51, 13053 Berlin, Germany",52.5543066,13.5021544
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJ28DVeT5NqEcRBHPnJR3QOM0,Netto Filiale,"Weißenseer Weg 35, 13055 Berlin, Germany",52.53584,13.474924300000001
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJK2Q4gQRMqEcR9OXMJMXHImI,Netto Filiale,"Pyramidenring 22, 12681 Berlin, Germany",52.53622739999999,13.525825099999999
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJIctPpFpMqEcRrQv0L3s7Hu8,REWE,"Prerower Pl. 1, 13051 Berlin, Germany",52.564552299999995,13.5064911
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJT30RJi5MqEcRl7yrt0LdHxc,REWE,"Konrad-Wolf-Straße 24, 13055 Berlin, Germany",52.543783,13.490796300000001
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJpVjJa1NMqEcRi8to82IlSD8,REWE,"Ribnitzer Str. 26, 13051 Berlin, Germany",52.56963879999999,13.494744199999998
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,supermarket,"supermarket,grocery_or_supermarket,furniture_store,home_goods_store,food,point_of_interest,store,establishment",ChIJfVDlXZ0hZUERdDHVGwmk-d0,Thomas Philipps Sonderposten,"Werneuchener Str. 19A, 13055 Berlin, Germany",52.540502100000005,13.496991699999999
Berlin,Alt-Treptow,52.4917223,13.4577383,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJl-E6YalPqEcR_GkxU8NFoDI,EDEKA Lawrenz,"Heidelberger Str. 90, 12435 Berlin, Germany",52.489023200000005,13.447481400000001
Berlin,Alt-Treptow,52.4917223,13.4577383,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJmxgdrAVPqEcR4e9ma84nvJw,Lidl,"Kiefholzstraße 386, 12435 Berlin, Germany",52.4845035,13.461685199999998
Berlin,Alt-Treptow,52.4917223,13.4577383,supermarket,"grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJy_0kqoBPqEcRLk3elzF5_bU,Nahkauf Lind,"Kiehlufer 75, 12059 Berlin, Germany",52.483833600000004,13.447690099999999
Berlin,Alt-Treptow,52.4917223,13.4577383,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJXegZbKpPqEcRH_6fwWVkRn4,Netto Deutschland - schwarz-gelber Discounter mit dem Scottie,"Kiefholzstraße 420, 12435 Berlin, Germany",52.4905565,13.452193
Berlin,Alt-Treptow,52.4917223,13.4577383,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJXT0YorpPqEcROmv4dJ5H3Rs,Netto Filiale,"Wildenbruchstraße 55, 12435 Berlin, Germany",52.4885034,13.4489161
Berlin,Alt-Treptow,52.4917223,13.4577383,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJmUufwvhOqEcRQGUyaOxeROU,Netto Filiale,"Corinthstraße 32, 10245 Berlin, Germany",52.49974100000001,13.461116699999998
Berlin,Alt-Treptow,52.4917223,13.4577383,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJw2uEiAhPqEcRrJlIl8YLy6A,REWE,"Kiefholzstraße 50, 12435 Berlin, Germany",52.485533,13.457042900000001
Berlin,Alt-Treptow,52.4917223,13.4577383,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJcXJPCAFPqEcR81AA0ArjUsI,"real,-","Am Treptower Park 14, 12435 Berlin, Germany",52.490837600000006,13.457791699999998
Berlin,Biesdorf,52.50866679999999,13.5614488,Drogeriemarkt,"drugstore,health,point_of_interest,clothing_store,store,establishment",ChIJtX4NVmpJqEcRE9X0z1yUEpI,Müller,"Weißenhöher Str. 88, 12683 Berlin, Germany",52.506318900000004,13.5590061
Berlin,Biesdorf,52.50866679999999,13.5614488,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJT0zfXF9JqEcRkAWLGtFAlEQ,dm-drogerie markt,"Oberfeldstraße 138, 12683 Berlin, Germany",52.5247265,13.5582407
Berlin,Biesdorf,52.50866679999999,13.5614488,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJZyBWuLVLqEcRsZFiXh4hBbk,dm-drogerie markt,"Allee der Kosmonauten 194, 12685 Berlin, Germany",52.54115059999999,13.564504999999999
Berlin,Biesdorf,52.50866679999999,13.5614488,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJb2IR4NJLqEcRO7-6LoPQddU,dm-drogerie markt,"Neue Grottkauer Str. 23, 12619 Berlin, Germany",52.529827299999994,13.594931400000002
Berlin,Biesdorf,52.50866679999999,13.5614488,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJgcFYBfZLqEcRWJZjz1DAJ48,dm-drogerie markt,"Marzahner Promenade 1, 12679 Berlin, Germany",52.54351699999999,13.5434425
Berlin,Biesdorf,52.50866679999999,13.5614488,Tankstelle,"gas_station,bakery,cafe,restaurant,food,point_of_interest,store,establishment",ChIJ7x66eO5JqEcRnD1pk9n72Ho,TOTAL Tankstelle,"Alt-Mahlsdorf 60, 12623 Berlin, Germany",52.504214000000005,13.624267300000001
Berlin,Biesdorf,52.50866679999999,13.5614488,Tankstelle,"gas_station,point_of_interest,establishment",ChIJEzG2mWhJqEcR5GfSGyVaXt0,star Tankstelle Jennifer Bulst,"Altentreptower Str. 2, 12683 Berlin, Germany",52.5132932,13.5637223
Berlin,Biesdorf,52.50866679999999,13.5614488,street market,,ChIJOwzNtsNLqEcR5oI4qHhyuxU,Gardens of the World,"Blumberger Damm 44, 12685 Berlin, Germany",52.537961100000004,13.569278200000001
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJmb4MHZxJqEcRNykYnxojkl8,ALDI,"Gülzower Str. 74, 12621 Berlin, Germany",52.5170002,13.589893400000001
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJjQPi5gdJqEcRQhUv91cxThk,ALDI Berlin-Kaulsdorf,"Chemnitzer Str. 177, 12621 Berlin, Germany",52.4901681,13.5767799
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJMb61LB1JqEcRFCuMFNn0CP0,EDEKA Kaulsdorfer Str.,"Kaulsdorfer Str. 94, 12621 Berlin, Germany",52.47508939999999,13.5686546
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJ4ZDApvhLqEcRCORHufZl3UA,Kaufland,"Märkische Allee 166 168, 172, 12681 Berlin, Germany",52.53388469999999,13.538372199999998
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJr7VUvGtJqEcRKTs1-WQF5Wk,Kaufland Berlin-Biesdorf,"Weißenhöher Str. 88-108, 12683 Berlin, Germany",52.5065537,13.557909699999998
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJXWbz7wdJqEcR9XJEv5JOxR8,Lidl,"Chemnitzer Str. 174, 12621 Berlin, Germany",52.489730099999996,13.574456900000001
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJXWgncPtLqEcR9TaQQh3peSk,Lidl,"Märkische Allee 140A, 12681 Berlin, Germany",52.530770700000005,13.537306400000002
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJXWgncPtLqEcRHSfW6jEqyIg,Lidl,"Allee der Kosmonauten 141A, 12683 Berlin, Germany",52.531804799999996,13.5488581
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJvYevgt5LqEcRouLIg-_VtGA,Lidl,"Cecilienstraße 161, 12683 Berlin, Germany",52.52913479999999,13.5710573
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJy4gMPn5JqEcRFU-F3DqNaHE,Lidl,"Feldberger Ring 1, 12619 Berlin, Germany",52.52788470000001,13.587964999999999
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJCwhwdHlJqEcRwZphqORNhWE,Netto Deutschland - schwarz-gelber Discounter mit dem Scottie,"Gülzower Str. 28, 12621 Berlin, Germany",52.5141204,13.5833098
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJSetcSRNJqEcRdssLwtdWHdo,Netto Deutschland - schwarz-gelber Discounter mit dem Scottie,"Apollofalterallee 115, 12683 Berlin, Germany",52.50274599999999,13.562158199999999
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJy8MUUwpJqEcRh_RMPttM75A,Netto Deutschland - schwarz-gelber Discounter mit dem Scottie,"Chemnitzer Str. 90, 12621 Berlin, Germany",52.49800329999999,13.576902800000003
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJF6Y17vhLqEcR8wOoYTfus0U,Netto Filiale,"Martha-Arendsee-Straße 4, 12685 Berlin, Germany",52.534950300000006,13.540415099999999
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJ4W87S3RJqEcRZSHpT5Cyz4o,PENNY,"Alt-Kaulsdorf 2, 12621 Berlin, Germany",52.504850100000006,13.5801121
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJo2AGPUNJqEcRiwzueHw-gpM,PENNY,"Oberfeldstraße 3, 12683 Berlin, Germany",52.5142699,13.554465400000002
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJ39_K8d5LqEcR6UJkl9AN9hA,Preisgewitter GmbH,"Wuhlestraße 28, 12683 Berlin, Germany",52.527222200000004,13.57
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJ2VvBrhxJqEcRhdlu9vrDnB4,REWE,"Köpenicker Str. 192-198, 12683 Berlin, Germany",52.48676529999999,13.5596155
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJCSbk59JLqEcRQHrW0Y_7CK8,REWE,"Neue Grottkauer Str. 23, 12619 Berlin, Germany",52.529881,13.595097899999999
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJUX4OZ19JqEcRlJRrkSnSC7k,REWE,"Oberfeldstraße 138, 12683 Berlin, Germany",52.5247265,13.5582407
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJbUzxYd5LqEcRe_2SgzgA6wE,REWE,"Wuhlestraße 31, 12683 Berlin, Germany",52.5283264,13.5687854
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJs1i-EFdJqEcRgnSgKCG9fhI,REWE,"Marchwitzastraße 29, 12681 Berlin, Germany",52.5233048,13.5441921
Berlin,Biesdorf,52.50866679999999,13.5614488,supermarket,,ChIJgf8oT2pJqEcR4nmm_WmJp8w,frostKauf - Ihr Tiefkühl-Discount,"Weißenhöher Str. 91, 12683 Berlin, Germany",52.5075361,13.558268599999998
Berlin,Blankenburg,52.5943985,13.454750400000002,shopping centre,,ChIJJ5xdBY9LqEcRSA4GpucVn-M,Plaza Marzahn,"Mehrower Allee 20, 12687 Berlin, Germany",52.55556470000001,13.558918499999999
Berlin,Blankenfelde,52.6247459,13.403769699999998,Drogeriemarkt,"drugstore,health,point_of_interest,clothing_store,store,establishment",ChIJ9Uzk8H9RqEcRbcZ9qNdRODA,Müller,"Müllerstraße 30A, 13353 Berlin, Germany",52.547771,13.3574443
Berlin,Blankenfelde,52.6247459,13.403769699999998,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJ76VJcfpDqEcROyvShcVrGkE,ROSSMANN Drogeriemarkt,"Am Lückefeld 90, 15831 Blankenfelde-Mahlow, Germany",52.3587775,13.4353271
Berlin,Blankenfelde,52.6247459,13.403769699999998,Tankstelle,"point_of_interest,store,establishment",ChIJbxOUO-9SqEcRMqN9MGLhkC0,Agip petrol station Pankow,"Dietzgenstraße 127, 13158 Berlin, Germany",52.594438000000004,13.402621
Berlin,Blankenfelde,52.6247459,13.403769699999998,Tankstelle,"gas_station,car_wash,car_rental,convenience_store,restaurant,food,point_of_interest,store,establishment",ChIJo2hZkI6sqUcR6GCWfooU3Fo,Aral,"Liebenwalder Str. 10A, 16567 Mühlenbecker Land, Germany",52.669728500000005,13.378210399999999
Berlin,Blankenfelde,52.6247459,13.403769699999998,shopping centre,,ChIJs1odP_KzqUcR2YbCFtEWefU,Bahnhofs - Passage Bernau,"Börnicker Chaussee 1-2, 16321 Bernau bei Berlin, Germany",52.67735130000001,13.5969
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJY7Qa1vVSqEcR3It1oDAVdms,ALDI Berlin-Pankow,"Dietzgenstraße 86, 13156 Berlin, Germany",52.588961,13.4021022
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJmT9bdQNTqEcRovcUn42Gv88,ALDI Berlin-Rosenthal,"Hauptstraße 119, 13158 Berlin, Germany",52.59806999999999,13.377285999999998
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJ1dDhSZ1TqEcRm1kvkZzXrSg,EDEKA Görse & Meichsner,"Hauptstraße 23-27, 13158 Berlin, Germany",52.58644289999999,13.3678679
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJMdFRnfhSqEcR5a-a_X3ItI4,EDEKA Pankow KG KW,"Friedrich-Engels-Straße 92-96, 13156 Berlin, Germany",52.588410399999994,13.389215099999998
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJj7UGUBBTqEcRgEzEDVnfpyE,Lidl,"Quickborner Str. 66-70, 13439 Berlin, Germany",52.60412289999999,13.368012900000002
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJCXUASgRTqEcRRmOJP7EcApk,Netto,"Wilhelmsruher Damm 11-13, 13158 Berlin, Germany",52.597013100000005,13.371449599999998
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJ5_IlwWBSqEcRxT0GOYISH6c,Netto Deutschland - schwarz-gelber Discounter mit dem Scottie,"Blankenburger Str. 61, 13156 Berlin, Germany",52.58331769999999,13.413173800000001
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJe8AzAMusqUcRJ6SXhZvF-aU,Netto Deutschland - schwarz-gelber Discounter mit dem Scottie,"Bahnhofstraße 5-7, 16552 Mühlenbecker Land, Germany",52.636048100000004,13.374649800000002
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJlVus-wNTqEcRipiadBwqfLg,Netto Filiale,"Hauptstraße 103, 13158 Berlin, Germany",52.595535600000005,13.37541
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJBRJvrwlTqEcRY-E561TAnc0,PENNY,"Dannenwalder Weg 159, 13439 Berlin, Germany",52.593901100000004,13.360478599999999
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJ8f2x2smsqUcRy1IUrQpfC3E,REWE,"Schönfließer Str. 15, 16552 Mühlenbecker Land, Germany",52.641797499999996,13.3732144
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJERUUMlxSqEcR2PZW1j2OdiQ,REWE,"Hermann-Hesse-Straße 14, 13156 Berlin, Germany",52.5813473,13.4006456
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJaRt3rf9SqEcRYAUfcHthjqI,REWE,"Kastanienallee 38, 13158 Berlin, Germany",52.59188420000001,13.3825408
Berlin,Blankenfelde,52.6247459,13.403769699999998,supermarket,"grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJQ6sC3xJTqEcRvOvbF62cTAE,nahkauf C.Lind,"13435 Berlin, Germany",52.605431900000006,13.357282500000002
Berlin,Bohnsdorf,52.3990007,13.570637099999999,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJ8Z3gDNdIqEcROUrpwshA5-o,ROSSMANN Drogeriemarkt,"Treskowallee 112, 10318 Berlin, Germany",52.48224200000001,13.5243314
Berlin,Bohnsdorf,52.3990007,13.570637099999999,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJJSGyMrxPqEcR2-DMjgOBoHk,ROSSMANN Drogeriemarkt,"Hermannstraße 49, 12049 Berlin, Germany",52.4781725,13.425594699999998
Berlin,Bohnsdorf,52.3990007,13.570637099999999,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJMeVOn2FEqEcR9UfER-rCn1Y,ROSSMANN Drogeriemarkt,"Bahnhofstraße 8, 12305 Berlin, Germany",52.386974,13.405818900000002
Berlin,Bohnsdorf,52.3990007,13.570637099999999,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJT8zJZXJGqEcRADoKdrGDruY,ROSSMANN Drogeriemarkt,"Prierosser Str. 32, 12357 Berlin, Germany",52.420925200000006,13.494749300000002
Berlin,Bohnsdorf,52.3990007,13.570637099999999,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJ_066YClHqEcRvlt1l-y9I4I,ROSSMANN Drogeriemarkt,"Siriusstraße 1, 12524 Berlin, Germany",52.4022314,13.5243462
Berlin,Bohnsdorf,52.3990007,13.570637099999999,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJrXi9WFxOqEcRkNiORxipEU0,ROSSMANN Drogeriemarkt,"Warschauer Str. 73, 10245 Berlin, Germany",52.51219329999999,13.4529614
Berlin,Bohnsdorf,52.3990007,13.570637099999999,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJv05iFDNOqEcRsags7QSPFqE,ROSSMANN Drogeriemarkt,"Reichenberger Str. 175, 10999 Berlin, Germany",52.49976529999999,13.417570499999998
Berlin,Bohnsdorf,52.3990007,13.570637099999999,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJvy8smp5JqEcR1q9E_NoeuCE,ROSSMANN Drogeriemarkt,"Alt-Kaulsdorf 64, 12621 Berlin, Germany",52.50456029999999,13.590301
Berlin,Bohnsdorf,52.3990007,13.570637099999999,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJxU-KmEVFqEcRsjP_epYzFuM,ROSSMANN Drogeriemarkt,"Mariendorfer Damm 95, 12109 Berlin, Germany",52.4442744,13.3863435
Berlin,Bohnsdorf,52.3990007,13.570637099999999,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJ0Tdd7DlGqEcRX1jMdbXwPfQ,dm-drogerie markt,"Semmelweisstraße 104a, 12524 Berlin, Germany",52.4257038,13.5273294
