place_id,local_date,local_weekday,local_hour,current_pop,usual_pop
ChIJeZ0RHcNRqEcRZfunLIjlWuY,2020-04-03,4,13,23,62
ChIJ3z5s5B9OqEcRNhTDwzwxE-M,2020-04-03,4,13,29,46
ChIJ62nCoepRqEcRBsra7l-Nq18,2020-04-03,4,13,15,63
ChIJeR5kMjBOqEcRcJjqBMMfYKg,2020-04-03,4,13,54,71
ChIJX0Mmkc9RqEcR0bH4Q4qkC-k,2020-04-03,4,13,39,61
ChIJmQtpiOBRqEcRqBjTGY_LvHI,2020-04-03,4,13,22,58
ChIJ-8sDhdpRqEcRp062PKUWqo0,2020-04-03,4,13,24,49
ChIJV16OSJNRqEcRpJUFdhOKHHQ,2020-04-03,4,13,26,52
ChIJ6_iV89BRqEcRCr5Ntbe5cLA,2020-04-03,4,13,20,69
ChIJrzhg285RqEcRCrcEtu4XG5I,2020-04-03,4,13,19,52
ChIJmbp8HiZOqEcRbKKAwF5KDY8,2020-04-03,4,13,48,63
ChIJBUEJietRqEcRM-_HFj_aQig,2020-04-03,4,13,24,79
ChIJ1QtBFr1RqEcRdovvLZRzEWc,2020-04-03,4,13,51,78
ChIJsdfdf_VRqEcRMPDVJQtLOJ0,2020-04-03,4,13,36,71
ChIJH0CL4PtRqEcRwU1E3Fzrmkg,2020-04-03,4,13,36,53
ChIJ_TCi_hJRqEcRk7fVfl3V1cc,2020-04-03,4,13,32,45
ChIJS5p1GdRRqEcRzoMvYJZBdkM,2020-04-03,4,13,32,63
ChIJDQShG6NRqEcRXNHQYjXYAKk,2020-04-03,4,13,28,69
ChIJpeHVvSRSqEcRZ_-_N1xRZnw,2020-04-03,4,13,36,60
ChIJ_VI_DA1RqEcRFZdwPlVgPDs,2020-04-03,4,13,43,51
ChIJpxxhBA9RqEcRDYMaMAsyWck,2020-04-03,4,13,50,67
ChIJBwowZ4lRqEcRM7EkazmsRg0,2020-04-03,4,13,48,93
ChIJnzsLNYNRqEcRs2yPhgzaI8A,2020-04-03,4,13,62,69
ChIJKykEKEpQqEcRJv29rjPz4z4,2020-04-03,4,13,28,49
ChIJvaZWgElOqEcRElWjL2P9AZg,2020-04-03,4,13,21,51
ChIJhX6bwAxRqEcRkZurgyAaAMU,2020-04-03,4,13,27,67
ChIJ32eWBCJOqEcRlmJO0gkkR9E,2020-04-03,4,13,33,28
ChIJ-4YNDQtRqEcRAXPeBWbA4ks,2020-04-03,4,13,32,50
ChIJOZG7315OqEcRVs8ZP5sx0mQ,2020-04-03,4,13,12,5
ChIJnbNuyRhPqEcRUIN-creCDbw,2020-04-03,4,13,20,41
ChIJi8XB0NlPqEcRGxxtloPjBz4,2020-04-03,4,13,31,64
ChIJMUj5z85RqEcRJFWt9uG8OZ8,2020-04-03,4,13,12,56
ChIJ_SKT7opOqEcR-kwMRzlB104,2020-04-03,4,13,52,51
ChIJ8TbTJwJOqEcRvPFwPGvwmMw,2020-04-03,4,13,10,8
ChIJQV7cfoVNqEcRfcFSoabxm9A,2020-04-03,4,13,50,62
ChIJpU9lbv5QqEcRi2P-1X1gkno,2020-04-03,4,13,18,23
ChIJYb9yIlRQqEcR7A7Zwwy7q-0,2020-04-03,4,13,11,57
ChIJ7aVia_lQqEcRXRIgdsB4UFA,2020-04-03,4,13,36,73
ChIJbxwFKGZRqEcRdn7lr6G238E,2020-04-03,4,13,46,54
ChIJbyaoEghRqEcRQCzKsqoIIEA,2020-04-03,4,13,42,70
ChIJrxglfA1RqEcRjzUZeIfN-IM,2020-04-03,4,13,41,52
ChIJFaAtf51RqEcRit2Jmk8We48,2020-04-03,4,13,36,55
ChIJ76lpgBVRqEcRTAE7ZrhTqUc,2020-04-03,4,13,34,58
ChIJdUYr2XJRqEcRW-O-peJOxh8,2020-04-03,4,13,41,48
ChIJz_sXfRJRqEcRACl-UDx3IQU,2020-04-03,4,13,26,57
ChIJ3VpndIJRqEcRgTMWE1jdkcE,2020-04-03,4,13,42,52
ChIJI4B4qyxSqEcRZNnnHhCAWyE,2020-04-03,4,13,30,61
ChIJFQRno4dRqEcRAM9ENuLmI4I,2020-04-03,4,13,39,56
ChIJSf7gdQpRqEcR_gx9eu_Cs60,2020-04-03,4,13,49,70
ChIJC05cKAtRqEcRTZfle3uIPBk,2020-04-03,4,13,24,75
ChIJO6VWDYBRqEcRzPLmwVojiAI,2020-04-03,4,13,46,38
ChIJ99S8mv9QqEcRZxIPBXtoDro,2020-04-03,4,13,9,57
ChIJJWMVustRqEcRpRM6ykKqzgA,2020-04-03,4,13,11,53
